system,type,channel,id,name,short_name,serial,group,units,cal_zero_ma,cal_max_psi_a,cal_max_psi_b,cal_slope_a,cal_slope_b,cal_offset,cal_tare,cal_min_temp,cal_max_temp,tc_cal_offset,tc_type,dc_type,abort_role,bb_enabled,notes
# NI DAQ PT Sensors (16-channel NI-9208 current card)
ni_daq,PT,0,PT1E,PT1 LOX Reg Upstream,pt1_lox_reg_up,1A03TMKRS3W,lox,psi,4.0,10000,10000,,,,,,,,,,,,High pressure regulator upstream
ni_daq,PT,1,PT2E,PT2 LOX Reg Downstream,pt2_lox_reg_dn,1A043JCJI2E,lox,psi,4.0,1500,1500,,,,,,,,,,,,Downstream of LOX regulator
ni_daq,PT,2,PT3E,PT3 LOX Tank Upstream,pt3_lox_tank_up,1A043JCC7HX,lox,psi,4.0,1500,1500,,,,,,,,,,,,LOX tank upstream pressure
ni_daq,PT,3,PT4E,PT4 LOX Tank Downstream,pt4_lox_tank_dn,1A043JCHMIH,lox,psi,4.0,1500,1500,,,,,,,,,,,,LOX tank downstream pressure
ni_daq,PT,4,PT5E,PT5 LOX Manifold,pt5_lox_manifold,1A043JCBSIH,lox,psi,4.0,1500,1500,,,,,,,,,,,,LOX engine manifold
ni_daq,PT,5,PT11E,PT11 Fuel Reg Upstream,pt11_fuel_reg_up,1A042U98Y2G,fuel,psi,4.0,10000,10000,,,,,,,,,,,,Fuel high pressure upstream
ni_daq,PT,6,PT12E,PT12 Fuel Reg Downstream,pt12_fuel_reg_dn,1A043JCGZIT,fuel,psi,4.0,1500,1500,,,,,,,,,,,,Fuel regulator downstream
ni_daq,PT,7,PT13E,PT13 Fuel Tank Upstream,pt13_fuel_tank_up,1A01WPHB22R,fuel,psi,4.0,2000,2000,,,,,,,,,,,,Fuel tank upstream
ni_daq,PT,8,PT14E,PT14 Fuel Tank Downstream,pt14_fuel_tank_dn,1A03YUNNS48,fuel,psi,4.0,1500,1500,,,,,,,,,,,,Fuel tank downstream
ni_daq,PT,9,PT15E,PT15 Fuel Engine Manifold,pt15_fuel_manifold,1A043JCAH24,fuel,psi,4.0,1500,1500,,,,,,,,,,,,Fuel engine manifold
ni_daq,PT,10,PT31E,PT31 Muscle Bus,pt31_muscle,1A03UA1ZV3D,other,psi,4.0,500,500,,,,,,,,,,,,Pneumatic muscle bus
ni_daq,PT,11,PT32E,PT32 Purge Bus,pt32_purge,1A040QHQC2O,other,psi,4.0,500,500,,,,,,,,,,,,Purge gas bus
ni_daq,PT,12,PT21E,PT21 LOX Venturi Inlet,pt21_venturi_in,1A043JCEI29,other,psi,4.0,1500,1500,,,,,,,,,,,,LOX venturi inlet
ni_daq,PT,13,PT22E,PT22 LOX Venturi Throat,pt22_venturi_throat,1A043JCF51X,other,psi,4.0,1500,1500,,,,,,,,,,,,LOX venturi throat
ni_daq,PT,14,PT23E,PT23 Fuel Venturi Throat,pt23_fuel_venturi,1A043JCD0HR,other,psi,4.0,1500,1500,,,,,,,,,,,,Fuel venturi throat
ni_daq,PT,15,PT24E,PT24 Fuel Venturi Inlet,pt24_fuel_venturi_in,1A043JCIA25,other,psi,4.0,1500,1500,,,,,,,,,,,,Fuel venturi inlet
# NI DAQ Load Cells (4-channel NI-9237 bridge card)
ni_daq,LC,0,LC1,TLCA,tlca,,thrust,lbf,,,296590.0,296590.0,0.0,0.0,,,,,,,,Thrust load cell A - calibrated
ni_daq,LC,1,LC2,TLCB,tlcb,,thrust,lbf,,,59447.0,59447.0,-2.91,0.0,,,,,,,,Thrust load cell B
ni_daq,LC,2,LC3,Fuel Tank Weight,wt_fuel,,weight,lbf,,,59447.9,59447.9,-2.91,130.0,,,,,,,,Fuel tank weight sensor
ni_daq,LC,3,LC4,LOX Tank Weight,wt_lox,,weight,lbf,,,59447.0,59447.0,-2.91,129.0,,,,,,,,LOX tank weight sensor
